"Season","End_year","Season_days","Data_days","Missing_Tmin","Missing_Tmax","Incomplete_days","Perc_complete"
"1972/1973",1973,365,365,0,0,0,100
"1973/1974",1974,365,365,0,0,0,100
"1974/1975",1975,365,365,0,0,0,100
"1975/1976",1976,366,366,0,0,0,100
"1976/1977",1977,365,365,0,0,0,100
"1977/1978",1978,365,365,0,0,0,100
"1978/1979",1979,365,365,0,0,0,100
"1979/1980",1980,366,366,0,0,0,100
"1980/1981",1981,365,365,0,0,0,100
"1981/1982",1982,365,365,0,0,0,100
"1982/1983",1983,365,365,0,0,0,100
"1983/1984",1984,366,366,0,0,0,100
"1984/1985",1985,365,365,0,0,0,100
"1985/1986",1986,365,365,0,0,0,100
"1986/1987",1987,365,365,0,0,0,100
"1987/1988",1988,366,366,0,0,0,100
"1988/1989",1989,365,365,0,0,0,100
"1989/1990",1990,365,365,0,0,0,100
"1990/1991",1991,365,365,0,0,0,100
"1991/1992",1992,366,366,0,0,0,100
"1992/1993",1993,365,365,0,0,0,100
"1993/1994",1994,365,365,0,0,0,100
"1994/1995",1995,365,365,0,0,0,100
"1995/1996",1996,366,366,0,0,0,100
"1996/1997",1997,365,365,0,0,0,100
"1997/1998",1998,365,365,0,0,0,100
"1998/1999",1999,365,365,0,0,0,100
"1999/2000",2000,366,366,0,0,0,100
"2000/2001",2001,365,365,0,0,0,100
"2001/2002",2002,365,365,1,1,1,99.7
"2002/2003",2003,365,365,0,0,0,100
"2003/2004",2004,366,366,0,0,0,100
"2004/2005",2005,365,365,0,0,0,100
"2005/2006",2006,365,365,0,0,0,100
"2006/2007",2007,365,365,0,0,0,100
"2007/2008",2008,366,366,0,0,0,100
"2008/2009",2009,365,365,0,0,0,100
"2009/2010",2010,365,365,0,0,0,100
"2010/2011",2011,365,365,0,0,0,100
"2011/2012",2012,366,366,0,0,0,100
"2012/2013",2013,365,365,0,0,0,100
"2013/2014",2014,365,365,0,0,0,100
"2014/2015",2015,365,365,0,0,0,100
"2015/2016",2016,366,366,0,0,0,100
"2016/2017",2017,365,365,0,0,0,100
"2017/2018",2018,365,365,0,0,0,100
"2018/2019",2019,365,365,0,0,0,100
